"No.","Time","Source","Destination","Protocol","Length","Info"
"5164","14.329895","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1293 Ack=74948 Win=1020 Len=3"
"5165","14.330127","35.217.37.16","192.168.3.2","UDP","419","50004  >  63452 Len=377"
"5166","14.350921","35.217.37.16","192.168.3.2","UDP","417","50004  >  63452 Len=375"
"5167","14.360989","107.161.154.161","192.168.3.2","TCP","456","25941  >  55851 [PSH, ACK] Seq=74948 Ack=1290 Win=774 Len=402"
"5168","14.361024","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1296 Ack=75350 Win=1025 Len=0"
"5169","14.370111","35.217.37.16","192.168.3.2","UDP","417","50004  >  63452 Len=375"
"5170","14.381519","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=75350 Ack=1296 Win=774 Len=0"
"5171","14.392638","35.217.37.16","192.168.3.2","UDP","416","50004  >  63452 Len=374"
"5172","14.410998","35.217.37.16","192.168.3.2","UDP","421","50004  >  63452 Len=379"
"5173","14.413245","107.161.154.161","192.168.3.2","TCP","442","25941  >  55851 [PSH, ACK] Seq=75350 Ack=1296 Win=774 Len=388"
"5174","14.416531","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1296 Ack=75738 Win=1024 Len=3"
"5175","14.418305","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1299 Ack=75738 Win=1024 Len=3"
"5176","14.432018","35.217.37.16","192.168.3.2","UDP","410","50004  >  63452 Len=368"
"5177","14.450366","35.217.37.16","192.168.3.2","UDP","414","50004  >  63452 Len=372"
"5178","14.458791","107.161.154.161","192.168.3.2","TCP","404","25941  >  55851 [PSH, ACK] Seq=75738 Ack=1296 Win=774 Len=350"
"5179","14.469341","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=76088 Ack=1302 Win=774 Len=0"
"5180","14.470721","35.217.37.16","192.168.3.2","UDP","426","50004  >  63452 Len=384"
"5181","14.490684","35.217.37.16","192.168.3.2","UDP","413","50004  >  63452 Len=371"
"5182","14.502007","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1302 Ack=76088 Win=1023 Len=0"
"5183","14.511359","35.217.37.16","192.168.3.2","UDP","409","50004  >  63452 Len=367"
"5184","14.512279","107.161.154.161","192.168.3.2","TCP","466","25941  >  55851 [PSH, ACK] Seq=76088 Ack=1302 Win=774 Len=412"
"5185","14.516720","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1302 Ack=76500 Win=1021 Len=3"
"5186","14.518696","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1305 Ack=76500 Win=1021 Len=3"
"5187","14.530005","35.217.37.16","192.168.3.2","UDP","412","50004  >  63452 Len=370"
"5188","14.549027","192.168.3.2","95.213.56.2","TCP","55","55875  >  443 [ACK] Seq=1 Ack=1 Win=1023 Len=1"
"5189","14.550974","35.217.37.16","192.168.3.2","UDP","415","50004  >  63452 Len=373"
"5190","14.560376","107.161.154.161","192.168.3.2","TCP","532","25941  >  55851 [PSH, ACK] Seq=76500 Ack=1302 Win=774 Len=478"
"5191","14.560408","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1308 Ack=76978 Win=1025 Len=0"
"5192","14.567428","95.213.56.2","192.168.3.2","TCP","66","443  >  55875 [ACK] Seq=1 Ack=2 Win=21 Len=0 SLE=1 SRE=2"
"5193","14.570158","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=76978 Ack=1308 Win=774 Len=0"
"5194","14.571360","35.217.37.16","192.168.3.2","UDP","405","50004  >  63452 Len=363"
"5195","14.590239","35.217.37.16","192.168.3.2","UDP","420","50004  >  63452 Len=378"
"5196","14.610210","35.217.37.16","192.168.3.2","UDP","419","50004  >  63452 Len=377"
"5197","14.613775","107.161.154.161","192.168.3.2","TCP","297","25941  >  55851 [PSH, ACK] Seq=76978 Ack=1308 Win=774 Len=243"
"5198","14.620798","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1308 Ack=77221 Win=1024 Len=3"
"5199","14.622616","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1311 Ack=77221 Win=1024 Len=3"
"5200","14.630913","35.217.37.16","192.168.3.2","UDP","383","50004  >  63452 Len=341"
"5201","14.650669","35.217.37.16","192.168.3.2","UDP","375","50004  >  63452 Len=333"
"5202","14.660488","107.161.154.161","192.168.3.2","TCP","404","25941  >  55851 [PSH, ACK] Seq=77221 Ack=1308 Win=774 Len=350"
"5203","14.669697","35.217.37.16","192.168.3.2","RTCP","94","Receiver Report   "
"5204","14.671471","35.217.37.16","192.168.3.2","UDP","385","50004  >  63452 Len=343"
"5205","14.673677","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=77571 Ack=1314 Win=774 Len=0"
"5206","14.690007","35.217.37.16","192.168.3.2","UDP","365","50004  >  63452 Len=323"
"5207","14.704093","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1314 Ack=77571 Win=1023 Len=0"
"5208","14.710144","HuaweiDevice_5c:9a:16","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/0/14:51:20:5c:9a:16  Cost = 0  Port = 0x8002"
"5209","14.710818","35.217.37.16","192.168.3.2","UDP","359","50004  >  63452 Len=317"
"5210","14.711699","107.161.154.161","192.168.3.2","TCP","482","25941  >  55851 [PSH, ACK] Seq=77571 Ack=1314 Win=774 Len=428"
"5211","14.718422","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1314 Ack=77999 Win=1021 Len=3"
"5212","14.721993","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1317 Ack=77999 Win=1021 Len=3"
